"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum",
2014,3,9,16,2,2014-09-16,"AA",19805,"AA","N4YPAA","151",11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0730","0725",-5.00,0.00,0.00,-1,"0700-0759",17.00,"0742","0853",7.00,"0900","0900",0.00,0.00,0.00,0,"0900-0959",0.00,"",0.00,90.00,95.00,71.00,1.00,460.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,17,3,2014-09-17,"AA",19805,"AA","N561AA","151",11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0730","0720",-10.00,0.00,0.00,-1,"0700-0759",11.00,"0731","0844",9.00,"0900","0853",-7.00,0.00,0.00,-1,"0900-0959",0.00,"",0.00,90.00,93.00,73.00,1.00,460.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,18,4,2014-09-18,"AA",19805,"AA","N4YJAA","151",11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0730","0724",-6.00,0.00,0.00,-1,"0700-0759",12.00,"0736","0856",6.00,"0900","0902",2.00,2.00,0.00,0,"0900-0959",0.00,"",0.00,90.00,98.00,80.00,1.00,460.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,19,5,2014-09-19,"AA",19805,"AA","N558AA","151",11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0730","0726",-4.00,0.00,0.00,-1,"0700-0759",12.00,"0738","0851",6.00,"0900","0857",-3.00,0.00,0.00,-1,"0900-0959",0.00,"",0.00,90.00,91.00,73.00,1.00,460.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,22,1,2014-09-22,"AA",19805,"AA","N559AA","151",11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0730","0726",-4.00,0.00,0.00,-1,"0700-0759",14.00,"0740","0849",10.00,"0900","0859",-1.00,0.00,0.00,-1,"0900-0959",0.00,"",0.00,90.00,93.00,69.00,1.00,460.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,23,2,2014-09-23,"AA",19805,"AA","N559AA","151",11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0730","0725",-5.00,0.00,0.00,-1,"0700-0759",13.00,"0738","0848",7.00,"0900","0855",-5.00,0.00,0.00,-1,"0900-0959",0.00,"",0.00,90.00,90.00,70.00,1.00,460.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,24,3,2014-09-24,"AA",19805,"AA","N4XYAA","151",11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0730","0812",42.00,42.00,1.00,2,"0700-0759",16.00,"0828","0943",6.00,"0900","0949",49.00,49.00,1.00,3,"0900-0959",0.00,"",0.00,90.00,97.00,75.00,1.00,460.00,2,42.00,0.00,7.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,25,4,2014-09-25,"AA",19805,"AA","N487AA","151",11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0730","0722",-8.00,0.00,0.00,-1,"0700-0759",17.00,"0739","0850",7.00,"0900","0857",-3.00,0.00,0.00,-1,"0900-0959",0.00,"",0.00,90.00,95.00,71.00,1.00,460.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,26,5,2014-09-26,"AA",19805,"AA","N553AA","151",11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0730","0725",-5.00,0.00,0.00,-1,"0700-0759",11.00,"0736","0848",4.00,"0900","0852",-8.00,0.00,0.00,-1,"0900-0959",0.00,"",0.00,90.00,87.00,72.00,1.00,460.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,29,1,2014-09-29,"AA",19805,"AA","N4XJAA","151",11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0730","0808",38.00,38.00,1.00,2,"0700-0759",13.00,"0821","0923",5.00,"0900","0928",28.00,28.00,1.00,1,"0900-0959",0.00,"",0.00,90.00,80.00,62.00,1.00,460.00,2,28.00,0.00,0.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,30,2,2014-09-30,"AA",19805,"AA","N546AA","151",11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0730","0723",-7.00,0.00,0.00,-1,"0700-0759",12.00,"0735","0842",6.00,"0900","0848",-12.00,0.00,0.00,-1,"0900-0959",0.00,"",0.00,90.00,85.00,67.00,1.00,460.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,1,1,2014-09-01,"AA",19805,"AA","N3GKAA","152",13303,1330303,32467,"MIA","Miami, FL","FL","12","Florida",33,11278,1127802,30852,"DCA","Washington, DC","VA","51","Virginia",38,"1220","1217",-3.00,0.00,0.00,-1,"1200-1259",11.00,"1228","1434",5.00,"1448","1439",-9.00,0.00,0.00,-1,"1400-1459",0.00,"",0.00,148.00,142.00,126.00,1.00,919.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,2,2,2014-09-02,"AA",19805,"AA","N3DSAA","152",13303,1330303,32467,"MIA","Miami, FL","FL","12","Florida",33,11278,1127802,30852,"DCA","Washington, DC","VA","51","Virginia",38,"1220","1231",11.00,11.00,0.00,0,"1200-1259",16.00,"1247","1453",5.00,"1448","1458",10.00,10.00,0.00,0,"1400-1459",0.00,"",0.00,148.00,147.00,126.00,1.00,919.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,1,1,2014-09-01,"AA",19805,"AA","N3ECAA","155",12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0725","0719",-6.00,0.00,0.00,-1,"0700-0759",18.00,"0737","0817",9.00,"0835","0826",-9.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,70.00,67.00,40.00,1.00,236.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,2,2,2014-09-02,"AA",19805,"AA","N3ETAA","155",12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0725","0719",-6.00,0.00,0.00,-1,"0700-0759",10.00,"0729","0810",13.00,"0835","0823",-12.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,70.00,64.00,41.00,1.00,236.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
